site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4682025024,S-0359369085870067,other,0,50,7,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,270
S-4677025033,S-0359369081379030,other,6,22,6,6,6,6,4,5,5,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,390
S-4772025022,S-0359369084113196,other,4,16,5,5,6,5,4,4,6,4,4,4,5,6,5,4,5,5,6,6,6,6,5,6,5,360
S-4372025021,S-0359369085085062,other,3,34,5,6,5,5,5,5,5,5,5,5,6,5,5,5,6,6,5,6,6,6,6,6,5,410
S-4677025028,S-0359369084288048,other,4,225,5,5,5,5,4,5,5,5,5,5,5,6,5,5,5,6,5,5,6,5,6,5,6,310
S-4784025026,S-0359369085142863,other,3,23,13,10,5,8,5,8,3,5,5,5,5,5,5,5,5,5,5,5,10,46,67,13,5,250
S-4772025022,S-0359369084105440,other,3,9,4,6,5,5,5,6,5,4,6,6,5,5,5,5,6,5,6,4,5,5,6,4,6,410
S-2711010100,S-0359369084047014,other,3,29,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250
S-4673025027,S-0359369085154603,other,6,104,28,21,15,15,6,6,6,15,6,3,6,3,3,3,0,3,3,3,3,3,3,3,3,270
S-4372025021,S-0359369085145411,other,2,6,4,2,4,2,2,4,4,4,2,4,4,2,4,2,4,4,4,4,2,2,4,4,4,250
S-4682025024,S-0359369085870067,other,0,51,11,0,0,4,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,270
S-4413110100,S-0359369084113857,other,6,39,8,10,12,14,12,14,12,12,12,8,8,10,6,8,8,10,24,20,18,16,14,14,8,360
S-4673025027,S-0359369085143192,other,0,51,16,6,6,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
S-4677025029,S-0359369081312742,other,4,23,7,7,7,5,6,5,5,5,5,7,4,6,6,5,5,5,6,5,6,6,6,5,6,370
S-4885025022,S-0359369085169858,other,20,35,29,29,25,23,23,28,28,26,28,25,42,32,33,26,30,25,67,80,80,93,94,49,29,250
S-4885025022,S-0359369085170112,other,10,87,24,17,10,17,10,7,7,10,7,7,10,10,7,10,7,10,10,10,10,7,7,10,10,270
S-4885025022,S-0359369085181754,other,0,646,13,58,18,3,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,310
S-4784025026,S-0359369085152177,other,11,33,17,18,14,20,19,33,33,36,15,18,35,10,23,21,24,25,41,82,119,179,135,31,25,4690
S-4885025022,S-0359369085220495,other,3,13,7,3,7,131,7,7,7,3,10,10,26,3,13,10,3,13,7,3,3,7,7,10,13,470
S-4772025022,S-0359369084106224,other,2,9,5,4,4,4,4,5,5,4,4,5,4,4,5,4,4,6,5,5,4,5,5,6,4,410
S-4677025029,S-0359369081380905,other,15,20,17,18,18,20,25,23,22,21,22,21,18,17,19,19,36,34,77,28,26,26,23,20,25,440
S-4372025021,S-0359369085101984,other,4,14,5,5,6,6,6,5,5,5,5,4,5,4,5,5,4,5,6,5,5,6,6,6,6,360
S-4682025024,S-0359369085688386,other,0,45,7,4,2,4,2,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,250
S-4677025028,S-0359369084288048,other,3,362,6,4,6,6,4,6,6,4,4,4,6,4,4,4,4,6,6,6,6,6,6,6,6,310
S-4687025030,S-0359369085166367,other,8,73,22,26,22,16,16,18,14,18,10,6,10,8,8,8,10,14,8,8,8,10,8,8,8,380
S-4677025028,S-0359369084264262,other,11,9,15,15,16,20,25,28,29,40,118,152,149,58,27,20,15,14,12,11,13,11,11,10,10,2350
S-4687025030,S-0359369085177745,other,4,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,250
S-4772025022,S-0359369084117650,other,4,19,4,5,5,5,4,4,5,5,5,4,5,4,5,4,6,4,5,5,4,5,5,4,5,410
S-4772025022,S-0359369084112784,other,5,35,8,8,8,11,8,8,8,11,11,8,5,13,8,8,11,5,13,11,11,8,8,8,13,390
S-4682025024,S-0359369085768170,other,9,43,14,14,13,10,14,19,19,12,10,12,13,13,23,13,9,12,14,20,37,281,160,49,17,260
S-4372025021,S-0359369085101984,other,3,14,5,6,6,6,5,6,5,6,6,6,5,7,5,5,5,7,7,6,5,6,6,6,6,360
S-4372025021,S-0359369085158232,other,7,14,5,2,5,5,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,5,2,2,250
S-4793025022,S-0359369085869127,other,4,16,6,4,5,5,5,5,5,5,5,5,5,5,4,6,6,6,5,5,5,5,6,5,5,250
S-4682025024,S-0359369085696439,other,3,41,14,7,10,7,10,10,10,14,10,10,10,10,7,7,7,7,10,7,7,24,24,14,7,250
S-4372025021,S-0359369085156590,other,3,10,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,240
S-4573025028,S-0359369085144976,other,9,10,13,13,14,16,19,20,20,21,28,29,38,82,90,67,27,23,18,13,13,12,13,12,12,2880
S-4772025022,S-0359369084110820,other,4,199,14,16,31,8,8,8,8,6,6,6,4,6,4,6,4,4,4,6,6,6,4,6,6,310
S-4372025021,S-0359369085143168,other,10,69,23,27,38,13,10,10,10,10,4,4,6,2,2,2,2,2,2,2,2,2,2,2,4,370
S-4372025021,S-0359369085156590,other,4,9,3,5,5,5,5,5,7,4,7,5,7,5,4,5,4,5,7,5,5,5,7,10,7,240
S-4885025022,S-0359369085155915,other,2,144,23,17,8,6,4,2,2,2,2,2,4,2,2,4,2,4,2,4,2,2,2,2,2,280
S-4372025021,S-0359369085158232,other,19,33,10,10,4,6,2,2,2,2,2,2,2,4,2,4,4,2,4,4,2,2,4,4,2,260
S-4728010101,S-0359369085275234,other,0,118,24,8,5,16,3,3,0,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,280
S-4677025033,S-0359369083952271,other,14,28,16,21,21,22,16,14,16,20,17,19,15,25,14,22,22,47,190,74,53,38,36,41,22,4360
S-4721011100,S-0359369084144530,other,21,40,9,7,5,3,7,5,5,5,3,7,5,5,5,5,3,3,5,5,5,5,3,5,5,300
S-4580025039,S-0359369083347373,other,9,37,17,11,9,6,9,4,4,6,2,4,4,4,2,2,2,4,4,2,2,4,2,2,4,390
S-4372025021,S-0359369085085062,other,3,33,6,4,4,4,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,6,4,4,4,400
S-4677025028,S-0359369084288329,other,0,109,4,15,19,0,4,15,23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,340
S-4677025029,S-0359369081312197,other,2,14,2,2,0,17,2,2,2,0,12,19,2,2,5,2,0,2,2,2,2,2,0,2,2,450
S-4573025028,S-0359369085146062,other,16,22,23,20,19,13,18,17,21,19,22,22,40,34,88,34,17,17,22,33,40,106,148,113,48,4780
S-4885025022,S-0359369085133490,other,4,92,16,8,8,8,6,4,4,6,6,4,8,6,6,6,6,6,8,4,8,21,14,10,6,280
S-4793025022,S-0359369085867584,other,2,43,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,4,4,240
S-4372025021,S-0359369085177604,other,0,14,3,3,3,6,3,3,0,3,6,3,3,3,6,0,6,6,0,0,3,6,3,3,3,420
S-4573025028,S-0359369085146039,other,9,10,13,10,13,19,19,20,21,27,53,50,95,163,29,29,17,15,12,10,10,10,12,10,8,2580
S-4885025022,S-0359369085139513,other,3,80,6,4,6,8,4,4,4,4,3,3,4,4,3,3,4,3,3,3,3,3,4,4,3,420
S-4372025021,S-0359369085189039,other,2,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,7,5,380
S-4673025027,S-0359369085219521,other,2,12,6,6,4,4,6,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,6,4,4,240
S-4687025030,S-0359369085166367,other,7,77,26,26,22,13,11,15,13,15,6,7,6,6,4,4,4,2,4,6,4,4,2,6,6,380
S-4721011100,S-0359369084144530,other,24,27,5,5,3,5,5,5,3,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,60
S-4573025028,S-0359369085146146,other,5,79,26,16,13,11,11,8,8,11,8,5,8,5,3,3,3,3,5,5,5,5,5,8,5,250
S-4885025022,S-0359369085155915,other,2,139,30,20,9,9,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280
S-4682025024,S-0359369085689376,other,9,47,11,13,11,13,11,11,11,11,11,9,36,11,9,7,7,7,7,9,11,11,13,16,22,240
S-4677025033,S-0359369083953246,other,0,117,32,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,290
S-4885025022,S-0359369085095020,other,18,145,20,18,26,24,22,20,20,24,22,22,43,26,28,24,24,28,37,59,55,33,28,24,28,250
S-4677025029,S-0359369081310084,other,3,7,5,4,5,5,5,5,5,6,5,5,5,6,6,5,6,5,6,5,4,6,6,5,7,420
S-4885025022,S-0359369085168546,other,12,49,18,23,26,11,12,12,12,15,28,28,18,28,12,15,9,12,12,12,14,12,15,20,20,250
S-4677025033,S-0359369083953246,other,0,117,48,6,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,290
S-4728010101,S-0359369085275234,other,3,99,25,14,5,19,3,0,3,5,3,3,11,5,5,3,3,3,3,5,5,8,8,3,3,280
S-4677025029,S-0359369081365963,other,4,101,5,7,5,5,6,6,7,5,4,6,6,6,6,5,6,7,7,4,5,6,5,7,6,330
S-4673025027,S-0359369085161442,other,0,103,20,6,3,25,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,280
S-4372025021,S-0359369085158232,other,9,14,7,2,2,5,2,5,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,250
S-4784025026,S-0359369085180509,other,12,62,22,52,25,31,18,14,14,17,13,14,14,10,14,12,13,38,10,12,13,17,16,14,14,480
S-4573025028,S-0359369085155014,other,0,71,11,7,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
S-4682025024,S-0359369085689376,other,36,36,22,16,13,16,16,21,21,27,31,23,170,26,23,18,20,19,16,22,27,35,34,92,28,240
S-4413110100,S-0359369084116843,other,4,43,5,5,5,4,5,5,4,5,5,5,4,4,4,4,4,5,6,5,5,4,4,5,5,370
S-4677025028,S-0359369084288329,other,0,96,4,21,21,4,4,14,18,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,340
S-4772025022,S-0359369084113196,other,3,19,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,4,6,4,6,6,6,6,7,360
S-4413110100,S-0359369084116843,other,2,20,4,4,7,4,4,6,6,3,3,4,3,4,4,3,3,4,3,4,6,6,6,6,3,370
S-4673025027,S-0359369085219521,other,3,12,7,7,5,5,5,7,5,3,5,5,8,5,5,5,5,5,5,5,5,7,7,5,5,240
S-4677025028,S-0359369084288048,other,4,245,6,6,6,7,5,6,5,5,6,6,5,5,5,6,4,6,7,6,6,6,6,6,6,310
S-4885025022,S-0359369085132427,other,0,46,0,4,7,0,0,0,4,14,0,0,0,7,0,0,0,0,0,4,4,4,0,0,4,380
S-4784025026,S-0359369085142863,other,17,51,19,19,19,17,19,15,15,17,12,15,19,15,17,19,19,15,27,24,36,207,297,49,24,250
S-4682025024,S-0359369085704233,other,3,25,5,5,3,5,5,5,3,3,3,5,5,5,5,3,3,5,3,5,5,5,5,5,5,250
S-4725010101,S-0359369081388759,other,2,137,17,25,37,5,7,22,25,10,5,5,10,2,2,2,2,2,2,2,2,2,2,2,5,340
S-4580025039,S-0359369083347373,other,8,39,21,10,10,6,8,6,4,8,6,4,4,4,2,4,4,2,4,4,2,4,4,4,4,390
S-4677025028,S-0359369083970190,other,4,17,10,7,6,5,6,4,4,6,5,6,5,5,5,5,7,4,5,6,5,6,5,4,5,420
S-4573025028,S-0359369085173793,other,48,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,60
S-4573025028,S-0359369085148811,other,2,10,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,250
S-4885025022,S-0359369085168546,other,10,81,24,24,30,10,10,11,11,11,24,18,16,19,8,13,8,8,10,11,11,11,14,18,11,250
S-4372025021,S-0359369085146757,other,14,38,38,20,31,10,7,3,3,3,3,3,3,3,0,3,0,0,3,0,3,3,3,7,3,250
S-4885025022,S-0359369085096051,other,6,363,57,50,29,17,17,8,6,6,6,5,3,3,2,2,2,2,2,2,2,2,2,2,2,290
S-4885025022,S-0359369085144158,other,13,128,22,22,19,20,33,20,17,19,20,19,26,20,22,20,19,17,17,22,24,57,56,56,31,270
S-4673025027,S-0359369085143192,other,0,96,18,8,8,10,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,280
S-4413110100,S-0359369084113857,other,35,45,19,21,20,36,36,25,26,26,26,21,20,26,24,25,21,22,82,46,35,31,32,31,17,360
S-4677025029,S-0359369081310084,other,2,11,4,4,4,9,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,440
S-4772025022,S-0359369084110820,other,3,174,11,13,17,5,5,5,3,3,5,3,3,3,5,5,5,3,3,5,5,5,3,5,5,330
S-4772025022,S-0359369084112271,other,2,317,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,310
S-4885025022,S-0359369085170112,other,10,85,23,16,13,16,10,7,7,13,7,7,13,10,10,10,10,10,10,10,7,10,10,13,10,270
S-4677025033,S-0359369083953246,other,2,119,29,7,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,290
S-4885025022,S-0359369085154801,other,4,45,4,4,6,4,4,2,2,4,2,4,2,2,2,4,2,2,2,4,4,4,2,2,2,270
S-4793025022,S-0359369085867584,other,3,31,3,3,3,3,3,10,14,3,7,3,0,3,3,3,3,0,0,3,0,0,3,3,3,240
S-4772025022,S-0359369084105440,other,4,9,4,5,4,5,5,4,3,4,4,5,4,5,4,4,4,5,5,4,4,5,5,5,5,420
S-4885025022,S-0359369085188320,other,17,49,17,17,20,15,20,20,20,27,22,25,22,22,22,20,17,20,27,42,52,92,97,37,25,260
S-4885025022,S-0359369085182794,other,16,25,7,6,6,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,250
S-4677025033,S-0359369081372670,other,4,8,6,7,6,6,6,6,6,7,6,7,6,6,6,6,7,5,7,7,6,7,4,6,7,390
S-4885025022,S-0359369085127146,other,0,217,174,28,16,19,9,3,3,3,3,3,0,3,3,3,0,0,0,3,3,6,3,0,3,300
S-4677025028,S-0359369084274766,other,6,44,10,10,14,12,10,12,10,12,16,20,12,10,10,8,10,12,18,10,12,18,14,10,12,370
S-4677025029,S-0359369081310084,other,3,8,4,6,6,6,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,420
S-4372025021,S-0359369085146757,other,3,20,9,8,6,14,12,6,5,6,6,6,15,8,5,23,5,6,6,6,9,12,15,50,11,250
S-4573025028,S-0359369085123798,other,2,48,14,10,7,5,7,7,12,7,5,7,5,5,5,2,2,2,2,5,5,5,5,5,5,250
S-4673025027,S-0359369085219521,other,4,9,5,4,5,5,4,7,5,4,5,4,7,5,4,5,5,5,5,5,5,7,5,5,5,240
S-4677025028,S-0359369084287065,other,4,14,4,4,4,6,19,6,6,3,3,3,4,4,3,3,3,4,4,4,4,4,3,4,3,540
S-4682025024,S-0359369085725881,other,3,92,13,6,6,6,5,5,5,5,5,3,5,5,3,5,3,5,5,5,3,5,5,5,5,300
S-4885025022,S-0359369085094932,other,4,306,51,33,20,18,11,4,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,280
S-4573025028,S-0359369085146146,other,10,63,34,15,15,15,10,12,12,12,7,10,10,7,7,7,5,5,7,7,7,7,7,10,7,260
S-4677025028,S-0359369084274766,other,8,37,14,16,18,14,14,18,14,19,23,27,23,12,14,14,14,18,47,18,16,29,23,18,18,370
S-4673025027,S-0359369085087449,other,0,47,7,3,3,3,7,14,10,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4793025022,S-0359369085716518,other,4,24,5,5,4,4,4,5,4,5,5,4,4,4,5,5,5,5,4,5,4,5,5,5,5,260
S-4687025030,S-0359369085185508,other,6,81,13,6,6,3,3,0,3,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,0,240
S-4673025027,S-0359369085143192,other,0,51,16,6,3,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
S-4677025033,S-0359369083953246,other,0,115,35,6,3,3,3,0,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,290
S-4573025028,S-0359369085146278,other,3,53,11,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250
S-4885025022,S-0359369085096051,other,6,341,58,47,32,20,14,8,6,5,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,300
S-4677025028,S-0359369083970190,other,4,16,12,7,7,5,5,4,5,6,6,5,6,5,7,5,5,5,6,5,6,6,6,6,6,420
S-4573025028,S-0359369085123798,other,3,48,12,9,6,6,6,9,12,9,9,9,6,6,3,3,3,3,3,6,6,3,3,6,6,250
S-4677025029,S-0359369081310084,other,4,10,5,5,5,4,6,5,5,5,5,6,7,6,5,5,5,6,6,6,5,5,5,5,5,420
S-4784025026,S-0359369085090476,other,4,227,5,5,5,5,5,4,6,10,8,6,8,12,6,5,5,5,4,6,5,8,8,8,5,240
S-4372025021,S-0359369085156194,other,4,43,10,8,8,6,6,6,6,8,6,10,12,8,8,6,6,6,6,8,8,8,8,8,6,260
S-4673025027,S-0359369085139273,other,3,36,7,3,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,250
S-4885025022,S-0359369084032206,other,3,48,8,3,3,3,3,3,5,8,0,3,3,0,0,3,0,0,0,0,0,0,0,3,3,270
S-4885025022,S-0359369085097745,other,0,63,4,4,7,2,2,2,4,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,350
S-4372025021,S-0359369085176598,other,4,75,6,6,5,6,5,6,6,5,4,6,5,5,6,5,4,6,6,6,5,5,5,5,6,290
S-4677025033,S-0359369081334654,other,4,29,6,6,7,5,6,5,5,6,5,5,6,5,5,6,6,6,6,5,5,5,6,6,5,360
S-4573025028,S-0359369085146278,other,2,67,14,7,7,5,2,2,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,250
S-4372025021,S-0359369085176598,other,3,103,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,7,4,5,4,5,4,5,290
S-4772025022,S-0359369084105440,other,3,12,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,5,6,5,4,5,5,5,4,420
S-4677025033,S-0359369083952271,other,11,26,18,18,21,22,18,17,14,18,17,17,15,32,14,18,17,41,206,68,54,35,39,39,21,4370
S-4372025021,S-0359369085177604,other,8,28,10,8,8,13,10,10,10,8,13,10,13,8,13,13,10,13,10,8,8,10,15,15,10,410
S-4673025027,S-0359369085087449,other,0,56,6,3,3,3,9,12,9,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,230
S-4772025022,S-0359369084112875,other,4,22,4,5,5,5,6,5,4,4,4,5,5,5,4,4,4,5,5,6,5,6,6,5,5,280
S-4573025028,S-0359369085146146,other,8,56,38,13,13,13,8,10,8,8,8,8,8,8,5,5,5,5,8,5,5,5,5,8,8,250
S-4886025023,S-0359369085189831,other,0,67,5,5,5,5,5,2,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,360
S-4885025022,S-0359369085131866,other,10,52,20,13,10,30,16,10,10,10,10,13,10,13,10,20,10,10,10,10,10,10,10,10,10,280
S-4793025022,S-0359369085711725,other,0,35,5,3,3,3,3,11,13,3,11,13,0,5,3,3,0,0,0,0,3,0,0,0,3,250
S-4885025022,S-0359369085139513,other,4,107,5,5,6,17,7,5,5,5,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,420
S-4885025022,S-0359369085188320,other,17,47,17,17,17,15,22,20,17,20,20,20,22,17,22,20,20,17,27,32,44,52,52,25,22,260
S-4885025022,S-0359369085181754,other,2,371,8,14,8,4,4,4,2,4,6,4,6,16,6,4,4,6,6,22,12,4,4,4,4,320
S-4885025022,S-0359369085154801,other,0,53,3,3,3,0,0,0,3,3,0,0,3,3,3,0,0,3,3,3,3,3,3,0,0,270
S-4784025026,S-0359369085190250,other,0,55,3,3,5,0,3,0,0,16,0,0,0,3,0,3,3,0,0,0,3,3,0,0,3,370
S-4372025021,S-0359369085176598,other,4,42,5,5,5,4,5,5,5,5,4,5,5,5,7,4,5,5,5,5,5,5,5,5,7,290
S-4372025021,S-0359369085156194,other,3,47,7,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,260
S-4413110100,S-0359369084116843,other,3,34,5,4,5,4,4,4,4,5,5,4,5,3,4,5,5,5,5,5,4,4,5,4,4,370
S-4372025021,S-0359369085189039,other,3,13,6,6,5,6,3,6,5,6,5,6,6,6,5,6,5,5,5,5,6,6,6,6,6,380
S-4885025022,S-0359369085169858,other,23,48,23,21,19,23,23,23,19,21,17,19,23,25,21,21,23,19,29,25,27,25,29,43,23,250
S-4372025021,S-0359369085176598,other,3,89,7,5,5,5,5,5,3,5,5,5,5,5,3,3,3,5,3,5,5,3,5,5,5,290
S-4885025022,S-0359369085106124,other,8,315,26,36,41,10,20,10,13,8,13,15,13,15,13,15,15,15,13,41,31,15,18,10,20,320
S-4772025022,S-0359369084106224,other,3,18,6,5,5,6,5,5,6,5,6,5,4,4,5,5,6,5,7,6,5,5,5,5,6,410
S-4580025039,S-0359369083347373,other,4,17,23,10,7,4,7,9,7,7,6,6,4,4,4,4,4,4,4,4,4,4,4,6,6,390
S-4372025021,S-0359369085086193,other,2,13,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,410
S-4372025021,S-0359369085156590,other,3,13,5,6,5,5,5,5,5,5,5,5,5,6,5,5,6,6,7,5,7,4,6,5,5,240
S-4677025033,S-0359369083952271,other,14,35,26,22,23,24,20,20,20,21,23,22,19,36,17,19,23,35,172,59,53,36,31,39,22,4360
S-4793025022,S-0359369085168876,other,5,32,7,5,5,2,5,2,2,5,7,5,10,12,5,5,2,5,5,7,5,10,7,10,5,260
S-4784025026,S-0359369085142863,other,6,36,12,9,12,6,6,6,6,6,6,6,9,6,12,9,12,6,15,15,15,64,106,30,12,250
S-4677025028,S-0359369084287065,other,2,18,6,6,5,7,17,6,7,4,5,4,4,5,4,5,4,4,5,4,4,4,4,5,5,540
S-4573025028,S-0359369085146278,other,3,63,13,8,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250
S-4677025028,S-0359369083970190,other,3,11,10,7,6,5,5,6,5,5,6,6,5,6,5,7,6,5,6,6,5,6,6,5,6,430
S-4677025029,S-0359369081310084,other,3,9,5,6,6,7,6,4,5,5,6,5,5,6,6,5,6,6,7,7,6,6,6,6,6,420
S-4673025027,S-0359369085087449,other,0,52,4,0,0,0,7,19,11,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4677025028,S-0359369084274766,other,2,46,7,10,12,12,7,7,7,12,15,12,10,7,5,5,5,2,10,7,5,7,5,5,7,370
S-4885025022,S-0359369085106124,other,3,342,18,36,36,9,18,9,9,9,12,9,9,9,6,15,12,15,9,39,27,15,15,6,21,320
S-4677025029,S-0359369081310084,other,2,8,2,4,2,4,4,2,2,2,8,4,2,2,2,4,2,2,4,2,2,2,4,2,2,420
S-2711010100,S-0359369084047014,other,0,27,9,9,3,3,3,0,3,3,3,0,3,0,3,0,3,0,0,3,3,3,0,3,3,250
S-4885025022,S-0359369085163984,other,0,113,43,12,12,21,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,280
S-4885025022,S-0359369085094494,other,3,103,14,3,6,9,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,0,3,3,280
S-4677025033,S-0359369083953246,other,0,97,47,6,3,3,3,0,3,3,0,3,0,3,3,3,3,3,3,3,3,0,3,3,3,290
S-4885025022,S-0359369085106124,other,6,358,17,29,38,9,15,9,9,9,12,12,9,12,12,12,12,12,9,38,35,20,15,9,20,320
S-4372025021,S-0359369085156590,other,2,17,2,2,5,5,2,5,5,2,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,240
