site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4372025021,S-0359369085120042,noise,47,28,17,3,6,6,19,3,22,3,3,6,3,6,3,3,3,3,3,3,3,3,3,3,3,60
S-4677025029,S-0359369081308567,noise,4,11,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,6,480
S-4677025028,S-0359369084275144,noise,10,72,6,6,6,6,6,6,8,6,8,6,5,6,6,6,6,6,8,13,8,8,6,8,8,340
S-4673025027,S-0359369085126874,noise,3,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,240
S-4580025036,S-0359369084274121,noise,19,46,11,11,8,5,8,5,5,8,11,13,16,21,21,30,43,21,13,13,11,13,13,8,11,3550
S-4677025028,S-0359369084275144,noise,6,97,5,6,10,6,5,5,6,5,6,7,6,5,5,6,5,5,7,6,6,5,6,6,5,330
S-4677025033,S-0359369083951794,noise,2,6,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,6,2,4,4,4,4,4,460
S-4580025036,S-0359369084274121,noise,19,25,23,17,23,21,23,25,17,27,21,19,19,37,46,35,123,104,61,40,40,37,42,37,33,4180
S-4372025021,S-0359369085138390,noise,3,47,5,8,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,260
S-4728010101,S-0359369085288617,noise,5,49,10,9,8,10,6,6,6,6,6,6,7,6,8,5,8,8,5,7,7,7,8,8,5,290
S-4677025029,S-0359369083954434,noise,2,18,4,2,4,10,4,4,4,4,6,10,4,4,4,2,2,4,4,4,4,4,4,4,4,450
S-4784025026,S-0359369085183693,noise,4,45,7,7,7,4,5,9,7,7,7,7,4,5,2,2,4,4,4,4,4,4,4,4,4,290
S-4372025021,S-0359369085121859,noise,3,21,5,5,5,5,5,5,6,5,5,5,5,6,15,11,6,5,6,20,18,26,30,6,6,260
S-4886025023,S-0359369085126023,noise,7,432,5,7,7,2,7,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,320
S-4772025022,S-0359369084113212,noise,3,27,6,5,5,5,5,5,5,4,6,6,5,5,5,6,5,6,6,5,7,6,6,6,5,360
S-4784025026,S-0359369085176424,noise,0,112,20,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,280
S-4677025029,S-0359369083954434,noise,4,21,4,4,4,6,4,6,4,4,4,6,4,4,7,6,4,6,6,4,4,4,4,4,4,450
S-4413110100,S-0359369084647912,noise,3,18,3,3,3,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,440
S-4673025027,S-0359369085126874,noise,3,17,3,3,3,3,3,6,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,6,3,240
S-4571025029,S-0359369084041017,noise,0,119,8,18,36,0,5,15,15,5,3,3,8,0,3,0,0,0,0,3,0,0,0,0,3,340
S-4784025026,S-0359369085191688,noise,13,82,24,16,16,13,11,11,13,13,8,8,5,5,3,3,3,3,3,3,5,3,5,3,5,260
S-4372025021,S-0359369085121958,noise,4,21,4,4,4,4,4,0,4,4,0,4,4,0,0,0,4,4,4,0,0,4,4,0,0,250
S-4793025022,S-0359369084007737,noise,4,25,4,4,4,4,4,4,4,4,6,4,6,2,6,6,4,4,4,4,4,4,6,8,6,240
S-4784025026,S-0359369085185078,noise,4,10,5,6,5,5,5,5,5,5,6,5,5,6,6,6,5,5,6,5,6,6,5,5,5,250
S-4372025021,S-0359369085157606,noise,3,35,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4,4,4,4,3,280
S-4886025023,S-0359369085126023,noise,3,59,10,3,3,3,7,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
S-4673025027,S-0359369085126874,noise,0,22,3,3,0,0,3,13,9,0,3,0,0,3,0,0,3,0,3,0,0,3,0,3,3,230
S-4784025026,S-0359369085182018,noise,4,201,6,5,5,4,6,6,5,6,5,6,5,5,6,5,6,5,6,6,6,6,5,6,6,310
S-4673025027,S-0359369085842520,noise,5,13,6,5,6,5,5,5,6,6,5,6,6,6,5,6,6,5,7,5,5,6,5,6,6,250
S-4673025027,S-0359369085135214,noise,0,85,8,4,4,8,0,0,0,8,0,0,13,0,0,0,0,4,0,8,8,0,0,0,8,270
S-4372025021,S-0359369085158620,noise,2,36,4,2,4,2,4,2,4,4,2,2,2,2,4,4,4,4,2,4,4,4,2,4,2,260
S-4372025021,S-0359369085128045,noise,0,68,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
S-4372025021,S-0359369085157606,noise,3,37,5,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,280
S-4677025028,S-0359369083465357,noise,4,267,7,18,23,5,5,5,6,5,4,4,5,4,4,4,4,5,5,4,4,4,4,5,5,330
S-4784025026,S-0359369085176424,noise,0,116,23,3,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
S-4886025023,S-0359369085127955,noise,7,67,12,17,19,14,10,10,7,10,10,7,7,10,5,5,5,5,7,5,5,5,5,7,10,400
S-4673025027,S-0359369085842520,noise,0,20,0,0,0,0,0,12,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4784025026,S-0359369085091094,noise,4,35,6,5,5,8,6,5,5,6,6,6,5,6,5,5,5,5,5,5,6,6,5,6,5,270
S-4784025026,S-0359369085180764,noise,0,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,240
S-4673025027,S-0359369085164719,noise,0,40,13,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4886025023,S-0359369085185714,noise,12,109,26,30,18,14,21,16,18,12,7,7,7,7,5,5,7,9,7,7,7,7,7,7,7,420
S-4677025033,S-0359369083951794,noise,4,9,4,5,6,5,5,6,5,5,6,5,6,5,5,5,4,5,6,4,5,5,5,6,5,440
S-4372025021,S-0359369085085856,noise,4,6,5,6,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,6,240
S-4677025033,S-0359369081334563,noise,2,14,4,4,5,4,4,2,4,4,4,4,2,5,4,4,2,2,11,2,4,4,2,4,5,390
S-4673025027,S-0359369085097752,noise,4,51,14,31,10,8,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,270
S-4372025021,S-0359369085120042,noise,50,23,15,3,3,3,23,3,23,3,3,15,3,3,6,3,3,3,3,3,3,3,3,3,3,60
S-4372025021,S-0359369085121958,noise,2,36,8,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,4,4,4,260
S-4372025021,S-0359369085188908,noise,3,25,5,5,5,5,5,7,3,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,360
S-4673025027,S-0359369085197958,noise,3,31,6,5,5,3,5,5,5,5,5,5,5,5,6,5,6,5,6,6,8,9,9,5,5,270
S-4571025029,S-0359369084041017,noise,0,103,7,10,21,0,3,10,10,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,350
S-4673025027,S-0359369085148480,noise,0,28,11,0,0,4,0,4,4,11,4,7,4,4,0,4,4,4,7,4,0,4,4,7,0,260
S-4673025027,S-0359369085702948,noise,4,54,9,6,4,4,4,9,6,4,6,6,4,6,4,2,4,4,6,11,9,9,9,6,4,240
S-4372025021,S-0359369085177992,noise,9,62,19,19,19,12,16,12,12,12,9,12,6,6,9,9,9,6,12,9,9,6,6,9,9,360
S-4372025021,S-0359369085177992,noise,10,80,16,16,22,13,13,13,16,16,6,10,10,6,10,10,6,6,13,10,6,6,6,10,6,350
S-4677025028,S-0359369084271200,noise,5,41,6,6,9,6,6,6,7,4,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,360
S-4793025022,S-0359369085715999,noise,4,16,5,5,5,5,5,6,5,5,6,6,5,6,5,5,5,6,5,5,6,5,5,7,6,240
S-4372025021,S-0359369085156863,noise,0,21,4,0,0,0,4,4,29,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,240
S-4772025022,S-0359369084111463,noise,3,24,5,5,3,3,3,3,3,3,3,5,3,3,3,5,5,3,5,3,3,3,3,3,3,360
S-4684025022,S-0359369085722748,noise,0,157,72,10,3,3,3,3,3,3,3,3,3,7,0,3,3,3,3,3,3,3,3,3,3,290
S-4886025023,S-0359369085185714,noise,4,26,15,26,140,11,11,11,11,22,7,11,7,7,4,4,4,4,4,7,4,4,4,7,7,430
S-4784025026,S-0359369085182349,noise,2,64,4,4,6,6,13,6,6,11,19,19,17,6,4,4,4,4,4,2,2,4,4,4,4,390
S-4673025027,S-0359369085719082,noise,4,17,4,4,4,6,6,6,6,4,4,4,6,6,6,4,4,4,6,6,6,6,4,6,4,250
S-4372025021,S-0359369085152573,noise,9,11,12,11,13,17,17,19,17,24,29,35,45,205,53,37,21,19,13,12,12,12,11,11,10,2790
S-4372025021,S-0359369085158620,noise,3,46,5,0,3,3,3,0,0,5,3,0,3,3,3,3,0,3,3,0,3,3,3,3,3,270
S-4677025028,S-0359369084275144,noise,8,74,5,4,5,4,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,4,5,4,5,340
S-4372025021,S-0359369085128045,noise,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
S-4571025029,S-0359369084020516,noise,16,44,36,23,13,15,15,10,10,11,8,10,8,10,5,5,3,5,8,5,5,5,5,3,7,350
S-4573025028,S-0359369085117717,noise,3,28,6,5,6,5,6,5,5,6,6,5,5,6,5,5,5,5,5,6,6,6,7,6,5,250
S-4372025021,S-0359369085138887,noise,4,19,5,5,7,5,5,7,5,7,5,7,5,7,7,4,5,4,5,5,5,7,5,4,7,250
S-4372025021,S-0359369085121958,noise,4,46,7,5,4,4,4,5,5,5,7,5,8,8,7,5,5,4,5,5,4,5,5,7,5,270
S-4372025021,S-0359369085158620,noise,0,40,3,3,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,270
S-4673025027,S-0359369085702948,noise,4,67,7,6,4,4,4,7,6,6,6,4,4,6,4,4,6,6,7,15,11,9,11,6,6,240
S-4784025026,S-0359369085146591,noise,0,34,4,0,0,0,0,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,250
S-4886025023,S-0359369085126023,noise,5,336,5,5,8,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,320
S-4573025028,S-0359369085172282,noise,2,15,2,2,2,2,4,2,2,2,2,4,2,4,4,2,2,4,2,2,4,2,2,2,2,250
S-4673025027,S-0359369085129829,noise,7,15,7,7,5,5,5,7,7,5,7,5,9,9,7,7,5,5,7,7,7,9,7,10,7,250
S-4784025026,S-0359369085175715,noise,4,39,6,7,6,7,7,7,6,7,7,6,8,6,7,5,7,6,6,7,7,8,8,7,7,290
S-4677025029,S-0359369081335206,noise,3,4,4,5,4,4,4,4,4,5,4,4,5,3,5,4,4,5,4,4,4,4,4,4,4,480
S-4677025028,S-0359369083465357,noise,4,230,9,11,12,4,6,6,6,6,4,4,3,6,4,4,4,4,4,4,4,6,7,4,6,300
S-4673025027,S-0359369085152219,noise,2,13,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,240
S-4673025027,S-0359369085129829,noise,3,16,5,5,5,5,3,5,3,5,3,3,5,5,5,5,5,3,5,3,5,5,5,5,5,250
S-4372025021,S-0359369085128045,noise,0,64,0,5,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,15,0,0,0,10,0,360
S-4372025021,S-0359369085157606,noise,2,41,5,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,2,2,280
S-4372025021,S-0359369085139810,noise,0,18,3,3,3,0,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,240
S-4677025033,S-0359369083951794,noise,3,9,3,3,3,3,3,3,3,3,5,5,3,5,5,3,3,3,3,3,3,3,5,5,5,460
S-4784025026,S-0359369085182224,noise,2,12,2,5,5,5,5,2,2,2,5,5,2,2,2,2,2,5,2,2,2,2,5,2,2,420
S-4784025026,S-0359369085186589,noise,2,35,7,9,13,9,9,7,7,7,4,7,7,4,4,2,4,4,4,4,4,4,4,2,2,420
S-4372025021,S-0359369085190383,noise,3,24,6,7,6,10,4,4,6,4,4,6,3,4,4,4,6,3,4,4,4,4,4,6,4,450
S-4673025027,S-0359369085135214,noise,3,57,10,7,3,10,3,3,0,3,3,3,3,3,0,3,3,10,0,10,7,0,0,0,7,270
S-4372025021,S-0359369085137418,noise,3,22,6,5,5,6,5,6,5,4,7,6,6,6,5,5,6,7,8,7,6,5,5,5,6,260
S-4573025028,S-0359369085134522,noise,4,55,5,8,9,4,4,4,5,5,4,4,5,4,4,4,4,4,5,5,6,5,5,4,5,350
S-4372025021,S-0359369085157606,noise,3,58,7,6,4,4,4,4,4,4,6,6,4,3,6,4,4,4,4,4,4,4,4,4,4,280
S-4673025027,S-0359369085164719,noise,0,48,13,0,0,4,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4687025030,S-0359369085087605,noise,2,9,2,7,7,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,420
S-4886025023,S-0359369085124069,noise,7,11,0,0,4,0,4,0,4,4,4,4,0,0,4,0,0,0,0,4,4,4,4,0,0,110
S-4673025027,S-0359369085117394,noise,53,51,22,26,22,12,10,7,7,7,7,7,10,5,5,5,2,2,2,2,5,5,5,7,5,140
S-4673025027,S-0359369085172498,noise,0,33,4,0,0,0,0,16,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4571025029,S-0359369084044417,noise,13,5,5,6,6,5,6,5,5,6,5,6,4,6,6,6,5,5,5,5,6,6,6,5,5,60
S-4673025027,S-0359369085167597,noise,3,21,15,12,14,6,6,5,5,6,6,5,7,6,6,6,6,5,5,6,6,6,5,6,6,260
S-4372025021,S-0359369085137418,noise,4,52,6,5,5,6,5,5,5,5,5,6,6,6,5,5,6,4,6,6,5,8,9,9,6,250
S-4682025024,S-0359369085844138,noise,2,68,6,4,4,4,4,8,8,2,4,4,2,2,2,2,0,2,2,2,2,2,2,2,2,240
S-4784025026,S-0359369085162549,noise,2,19,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,240
S-4372025021,S-0359369085139810,noise,0,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,240
S-4673025027,S-0359369085147680,noise,29,77,19,19,24,22,26,24,26,26,36,34,35,89,29,29,26,30,57,52,53,40,39,33,33,260
S-4784025026,S-0359369085090211,noise,4,55,5,5,5,6,5,4,5,5,5,6,5,6,6,5,6,5,4,5,6,6,7,6,4,290
S-4793025022,S-0359369085860050,noise,0,50,6,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,260
S-4784025026,S-0359369085084776,noise,4,101,13,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,4,5,5,5,4,5,5,290
S-4728010101,S-0359369085282677,noise,0,92,15,7,4,15,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
S-4677025028,S-0359369084275144,noise,7,60,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,6,4,340
S-4793025022,S-0359369085715072,noise,0,32,3,0,3,3,0,3,3,0,3,3,3,0,3,3,3,3,0,0,0,0,3,0,3,240
S-4673025027,S-0359369085148480,noise,0,42,13,3,3,3,0,6,6,10,6,6,3,3,3,3,3,3,3,3,0,3,3,6,0,250
S-4372025021,S-0359369085152300,noise,5,25,5,5,5,5,5,7,7,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,10,240
S-4784025026,S-0359369085143259,noise,2,26,2,2,2,12,2,2,2,4,8,6,2,4,4,4,4,6,2,2,2,6,6,6,2,430
S-4372025021,S-0359369085152300,noise,0,21,4,4,4,4,4,14,11,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,240
S-4372025021,S-0359369085157606,noise,5,35,5,5,5,5,3,5,3,5,5,3,5,5,5,5,5,5,5,5,5,6,5,5,5,280
S-4372025021,S-0359369085152573,noise,7,9,11,12,12,16,16,16,21,20,39,37,52,254,47,34,17,16,12,14,10,10,10,9,11,2730
S-4784025026,S-0359369085146591,noise,0,34,7,3,0,3,0,3,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4677025033,S-0359369081334563,noise,2,17,7,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,7,5,5,2,2,2,2,390
S-4372025021,S-0359369085129142,noise,3,9,4,5,5,5,5,5,5,5,5,4,5,6,5,5,5,5,6,6,6,5,6,5,5,240
S-4571025029,S-0359369084042932,noise,4,18,4,5,6,5,5,5,5,5,6,5,5,6,5,5,6,4,5,5,6,7,6,8,6,260
S-4784025026,S-0359369085180764,noise,4,7,6,5,5,5,5,6,5,5,5,5,6,6,6,5,5,5,4,6,5,5,6,6,5,240
S-4372025021,S-0359369085129142,noise,3,11,5,5,5,5,5,6,5,5,3,5,5,5,5,5,5,5,5,6,6,5,5,6,5,240
S-4372025021,S-0359369085082788,noise,2,16,2,2,2,2,2,2,2,5,5,5,2,2,5,5,2,2,2,5,2,5,2,5,2,250
S-4571025029,S-0359369083989497,noise,0,45,8,4,4,4,4,4,4,4,4,12,4,4,0,4,4,4,0,4,4,4,0,4,4,250
S-4784025026,S-0359369085084776,noise,0,217,57,17,3,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,300
S-4673025027,S-0359369085172498,noise,0,35,3,0,0,0,3,21,17,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4784025026,S-0359369085118368,noise,5,61,6,6,6,5,5,5,5,5,5,3,5,5,5,5,3,6,5,6,6,6,5,5,6,240
S-4673025027,S-0359369085135750,noise,4,10,7,5,7,5,7,4,4,5,4,5,7,4,5,7,5,4,7,7,7,5,5,7,5,240
S-4372025021,S-0359369085139778,noise,2,38,2,4,4,4,2,2,2,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,270
S-4673025027,S-0359369085714026,noise,3,28,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,240
S-4372025021,S-0359369085152573,noise,9,9,10,10,13,13,17,17,18,22,43,35,52,250,33,31,18,17,12,9,10,8,9,9,9,2650
S-4372025021,S-0359369085085856,noise,4,8,5,5,5,5,5,5,6,4,4,5,3,4,5,5,5,6,5,5,5,5,5,5,5,240
S-4372025021,S-0359369085177992,noise,12,74,15,15,22,18,12,15,15,15,18,18,15,15,15,15,22,15,65,28,22,15,18,31,25,350
S-4673025027,S-0359369085129829,noise,2,18,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,8,4,250
S-4793025022,S-0359369085861009,noise,2,67,4,2,4,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,250
S-4784025026,S-0359369085146591,noise,0,28,7,3,0,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4372025021,S-0359369085139810,noise,3,10,6,5,5,6,6,6,6,6,5,5,6,6,5,6,5,6,5,6,6,6,6,6,6,240
S-4886025023,S-0359369085124069,noise,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,110
S-4673025027,S-0359369085147680,noise,37,24,6,4,4,4,11,4,6,9,4,6,6,4,4,4,2,2,4,4,4,4,4,4,4,60
S-4573025028,S-0359369085146179,noise,0,76,20,8,6,6,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,300
S-4677025028,S-0359369083976205,noise,12,108,19,19,29,17,12,17,23,25,14,14,21,14,19,12,50,17,46,58,50,17,12,14,33,320
S-4784025026,S-0359369085186589,noise,4,36,5,5,9,7,5,5,5,7,4,7,4,4,4,2,2,2,4,4,4,2,4,4,5,420
S-4673025027,S-0359369085164719,noise,0,42,17,4,4,4,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4793025022,S-0359369085861009,noise,3,59,6,6,5,5,5,5,3,3,5,5,3,3,5,5,5,3,3,5,5,5,5,3,3,260
S-4677025029,S-0359369081335206,noise,3,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,480
S-4673025027,S-0359369085172498,noise,4,37,7,4,4,4,4,18,22,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4793025022,S-0359369085863757,noise,4,19,5,4,5,6,5,5,4,5,4,4,5,5,5,5,5,5,4,5,6,6,6,5,5,280
S-4886025023,S-0359369085172688,noise,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
S-4372025021,S-0359369085142590,noise,2,110,11,16,18,7,7,5,7,2,2,2,2,2,2,2,2,2,2,5,5,2,5,5,2,330
S-4784025026,S-0359369085176564,noise,2,8,4,4,4,2,2,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,2,2,420
S-4784025026,S-0359369085182224,noise,3,12,4,4,6,6,4,4,3,4,4,4,4,4,6,4,4,6,4,4,4,6,7,4,4,420
S-4571025029,S-0359369084044417,noise,21,11,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,6,6,6,6,5,6,60
S-4793025022,S-0359369085715999,noise,7,33,11,14,11,8,8,7,6,7,5,5,5,5,4,5,3,4,4,6,5,5,5,4,5,270
S-4673025027,S-0359369085197958,noise,3,27,3,5,5,3,3,5,3,5,5,5,5,5,8,5,5,5,3,5,7,7,7,5,3,270
S-4886025023,S-0359369085126023,noise,5,91,9,9,7,2,5,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,320
S-4673025027,S-0359369085719082,noise,0,26,6,3,3,0,3,0,0,3,3,3,0,3,3,0,3,0,0,3,0,3,3,0,3,250
S-4372025021,S-0359369085128045,noise,0,63,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,360
S-4673025027,S-0359369085164719,noise,0,49,16,4,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4372025021,S-0359369085177992,noise,9,70,21,18,21,12,9,12,12,12,9,9,9,6,6,6,6,6,29,12,9,6,6,6,9,350
S-4571025029,S-0359369084042932,noise,4,17,5,6,6,6,6,5,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,260
S-4673025027,S-0359369085172498,noise,0,41,3,0,3,0,3,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,240
S-4673025027,S-0359369085126874,noise,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,240
S-4372025021,S-0359369085138887,noise,3,19,6,7,7,6,4,6,4,6,4,6,4,4,6,6,4,4,4,4,6,4,6,6,6,250
S-4673025027,S-0359369085148480,noise,0,35,7,4,0,4,0,4,7,11,7,4,4,4,0,4,0,4,0,4,4,0,4,4,0,260
S-4372025021,S-0359369085129142,noise,4,8,5,5,5,4,5,5,5,5,5,5,6,4,5,5,5,5,6,5,5,5,6,5,6,240
S-4673025027,S-0359369085164719,noise,0,43,13,4,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,250
S-4372025021,S-0359369085128045,noise,0,43,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,360
S-4372025021,S-0359369085142590,noise,0,176,9,16,38,3,6,6,6,3,3,3,3,0,3,0,0,0,3,3,0,0,0,0,0,330
S-4677025028,S-0359369083465357,noise,4,82,7,5,7,8,7,10,8,7,7,7,7,10,4,5,10,10,27,73,56,36,36,31,15,340
S-4372025021,S-0359369085121859,noise,4,23,5,5,6,5,4,5,5,5,5,5,6,6,13,6,5,6,5,13,11,20,25,6,6,260
