site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4784025026,S-0359369085192439,in,3,51,7,3,3,3,3,7,7,3,3,0,3,0,0,0,0,0,3,3,3,0,3,3,0,240
S-4682025024,S-0359369085722995,in,0,62,10,7,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,270
S-4677025028,S-0359369084289285,in,3,30,6,6,6,6,4,6,4,6,6,4,6,6,4,4,6,7,6,6,6,6,6,4,6,360
S-4885025022,S-0359369085169577,in,21,120,17,22,27,22,25,19,21,19,19,22,21,22,24,22,32,35,24,30,28,32,27,25,21,400
S-4784025026,S-0359369085090526,in,2,37,5,4,4,5,4,5,4,5,4,6,4,5,5,5,4,5,5,4,5,4,5,5,5,400
S-4677025033,S-0359369083948303,in,8,124,15,28,48,8,13,18,18,10,8,10,10,8,8,5,8,5,10,8,8,5,8,8,8,350
S-2711010100,S-0359369084032438,in,0,26,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,3,3,3,250
S-4793025022,S-0359369084005707,in,3,51,10,6,3,6,3,6,6,13,6,6,6,3,6,6,6,6,6,6,6,3,6,6,6,260
S-4677025033,S-0359369083957122,in,9,309,51,28,17,13,9,7,7,7,7,9,9,11,6,6,9,11,13,24,26,50,46,20,17,300
S-4677025028,S-0359369083464400,in,3,345,12,10,7,5,3,5,3,3,3,5,3,5,3,3,3,5,3,3,3,5,5,3,3,310
S-4793025022,S-0359369084006077,in,0,59,13,7,3,7,0,0,0,7,0,0,7,0,0,0,0,3,0,3,3,0,0,0,3,270
S-4793025022,S-0359369085679815,in,4,18,6,2,2,4,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,2,250
S-4677025028,S-0359369084278916,in,3,58,9,8,6,4,6,4,6,6,6,7,6,7,6,6,6,7,8,6,6,7,6,4,6,360
S-4677025028,S-0359369083965760,in,4,28,15,14,16,12,21,24,33,13,5,8,8,10,8,8,7,12,8,8,8,8,5,9,9,570
S-4793025022,S-0359369085714356,in,7,43,7,7,7,7,7,13,17,7,17,13,7,10,7,7,3,3,3,7,7,3,7,7,7,240
S-4793025022,S-0359369084005707,in,3,46,7,7,3,7,3,7,10,13,7,7,7,7,3,7,7,7,7,7,3,7,7,10,3,260
S-4677025028,S-0359369084278916,in,5,159,20,15,15,9,7,7,7,7,7,8,6,8,6,7,7,8,20,14,9,7,8,9,9,360
S-4784025026,S-0359369085186035,in,9,178,38,25,20,25,13,11,9,9,7,7,7,7,9,5,4,7,11,33,29,11,9,13,9,280
S-4793025022,S-0359369085861215,in,28,36,33,28,36,32,27,25,30,27,29,27,48,57,40,35,28,30,28,27,25,45,52,54,48,2590
S-4521010100,S-0359369084103833,in,18,54,18,20,18,22,21,21,22,20,14,14,13,25,14,17,21,21,76,105,68,37,39,45,33,240
S-4793025022,S-0359369084007828,in,5,38,5,5,5,2,5,5,5,5,5,2,5,5,7,5,2,2,2,5,5,5,5,5,5,260
S-4885025022,S-0359369085094601,in,0,91,12,5,2,5,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,270
S-4677025028,S-0359369083975546,in,4,18,5,5,6,6,5,6,5,5,5,6,6,5,6,6,6,5,6,6,6,6,6,6,5,120
S-4677025028,S-0359369084275805,in,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,470
S-4376025033,S-0035514005600354,in,4,6,6,6,6,4,4,4,6,6,4,6,4,8,4,4,6,6,6,4,4,4,6,4,6,420
S-4728010101,S-0359369085458871,in,12,114,40,30,20,32,15,10,10,20,17,12,17,15,17,15,15,10,12,15,12,32,35,12,12,280
S-4372025021,S-0359369085169924,in,2,18,4,5,4,5,4,4,4,4,5,4,4,5,5,5,4,4,4,4,4,4,5,5,5,240
S-4677025028,S-0359369084269501,in,0,105,9,0,0,9,3,0,0,3,3,0,3,0,0,3,3,0,3,0,3,0,3,3,0,280
S-5011010101,S-0359369084273941,in,10,165,55,26,37,8,13,5,5,5,5,5,3,5,3,3,3,3,3,3,3,3,3,3,3,290
S-4793025022,S-0359369085095657,in,4,15,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,4,4,5,6,5,5,5,5,220
S-4677025028,S-0359369084277041,in,15,41,27,24,23,15,15,10,12,8,8,5,5,5,5,4,5,4,3,4,4,5,5,4,4,500
S-4573025028,S-0359369085097687,in,4,11,5,5,5,5,5,5,5,6,5,5,5,3,6,5,4,5,6,5,5,6,4,5,6,240
S-2911010106,S-0359369084033170,in,6,110,10,10,18,8,4,6,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4,6,4,400
S-4721011100,S-0359369084144779,in,4,62,5,5,5,6,5,5,5,5,5,6,5,5,6,5,6,5,9,6,6,7,7,6,6,410
S-4372025021,S-0359369085118665,in,4,19,6,5,5,5,6,5,5,5,5,5,6,5,6,5,5,6,5,6,6,5,4,4,5,250
S-4677025033,S-0359369083955688,in,13,52,20,22,25,18,22,22,22,27,22,18,13,23,13,18,30,28,96,63,55,33,32,23,42,380
S-4677025028,S-0359369084283874,in,4,90,8,8,12,14,6,4,4,8,8,6,4,6,2,4,4,4,4,4,4,4,4,4,4,390
S-4677025029,S-0359369081380202,in,5,40,7,7,7,10,7,5,5,7,5,5,5,5,2,2,2,2,5,2,5,2,2,2,5,400
S-4380032023,S-0359369083292702,in,58,51,10,7,3,3,7,3,10,3,3,14,10,14,3,0,3,3,3,3,3,3,3,0,3,60
S-4677025033,S-0359369081374643,in,6,106,8,7,9,7,7,8,10,8,7,9,7,15,8,8,7,8,9,16,17,25,21,10,8,330
S-4721011100,S-0359369084118500,in,3,9,7,6,6,5,4,5,6,6,6,4,5,5,5,5,4,6,4,4,5,5,4,5,5,450
S-4677025033,S-0359369081375285,in,18,46,29,30,32,33,35,30,32,24,22,24,21,52,24,19,32,34,60,193,130,58,46,36,23,4460
S-4677025028,S-0359369084269949,in,20,56,20,21,19,31,34,47,40,63,20,20,16,36,21,16,23,31,38,36,32,25,30,33,23,2810
S-4372025021,S-0359369085193551,in,4,225,10,16,6,5,5,6,5,4,5,4,5,5,6,7,6,5,5,4,6,5,5,6,5,310
S-4677025033,S-0359369083948303,in,6,178,15,18,39,9,9,30,42,9,9,9,18,9,9,9,12,9,9,12,9,12,9,6,15,340
S-4573025028,S-0359369085096572,in,15,62,21,19,19,21,21,15,15,17,19,15,21,24,49,17,21,19,22,19,22,49,47,50,19,260
S-4372025021,S-0359369085176630,in,4,151,15,30,72,4,11,26,26,4,8,8,4,4,4,4,0,4,0,4,8,8,8,4,4,330
S-4684025022,S-0359369085859631,in,3,17,6,7,7,5,6,6,5,6,7,6,5,6,5,6,6,6,5,6,6,7,7,6,6,260
S-4677025028,S-0359369084279351,in,9,155,5,9,16,9,5,7,9,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,350
S-4673025027,S-0359369085166714,in,17,32,12,12,17,10,7,10,10,10,15,19,51,15,15,7,7,10,5,7,10,12,10,27,22,240
S-4372025021,S-0359369085121446,in,0,51,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
S-4372025021,S-0359369085093959,in,3,63,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,290
S-4677025028,S-0359369084277629,in,11,25,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,240
S-4673025027,S-0359369085117014,in,18,22,13,12,14,11,13,15,15,16,43,35,37,44,18,15,12,12,13,17,22,44,49,58,23,2480
S-4677025028,S-0359369083943437,in,2,149,18,36,43,5,11,18,20,11,5,5,7,2,2,2,2,2,2,2,2,2,2,2,2,340
S-4784025026,S-0359369085194039,in,0,17,3,3,3,7,3,3,3,3,3,3,0,3,3,0,3,10,3,3,3,3,3,3,3,420
S-4372025021,S-0359369085178230,in,3,141,5,10,19,3,3,5,5,3,3,3,3,3,3,3,3,3,5,3,3,3,2,3,3,340
S-4573025028,S-0359369085146799,in,12,103,21,21,17,25,12,12,8,12,4,8,12,8,17,12,17,12,12,8,12,21,21,12,12,280
S-4721011100,S-0359369084107040,in,3,21,5,5,3,5,5,5,5,3,5,5,5,6,5,5,6,5,5,7,8,6,5,5,5,370
S-4784025026,S-0359369085191423,in,21,46,24,21,22,15,17,20,18,21,28,25,34,27,21,25,17,15,18,24,22,22,28,39,49,240
S-4521010100,S-0359369084103064,in,10,40,18,17,17,14,20,19,19,14,12,14,16,16,14,25,14,12,29,18,18,14,17,26,12,390
S-4677025028,S-0359369084277041,in,9,31,17,31,49,33,17,13,13,16,13,9,9,11,9,9,14,13,9,11,9,17,16,9,11,490
S-4793025022,S-0359369085095657,in,4,7,5,5,6,6,5,5,5,6,4,5,6,6,5,6,5,5,5,6,6,6,6,6,6,220
S-4677025028,S-0359369084283239,in,25,29,31,29,23,36,29,28,31,29,37,28,33,78,32,36,29,38,40,278,123,100,109,68,51,4520
S-4677025033,S-0359369081374643,in,3,210,7,14,31,3,5,9,9,3,3,3,3,3,3,3,3,3,3,5,7,9,9,3,3,330
S-4372025021,S-0359369085164057,in,16,63,17,16,18,13,22,21,24,21,24,24,39,28,21,21,17,13,14,21,17,17,21,25,35,250
S-4677025033,S-0359369083957320,in,19,26,10,5,5,5,29,7,5,2,5,5,7,5,2,2,2,2,2,2,2,2,2,2,2,390
S-4521010100,S-0359369084095385,in,9,39,14,14,21,14,17,16,16,31,14,14,15,23,15,14,11,13,14,18,22,27,29,26,14,360
S-4580025036,S-0359369083970505,in,8,12,5,5,5,5,5,5,5,3,6,6,5,6,5,6,5,5,6,6,5,5,5,5,5,390
S-4677025028,S-0359369083464558,in,15,52,24,24,23,40,28,21,18,18,21,21,19,13,16,15,15,18,21,19,19,23,19,19,19,490
S-4677025028,S-0359369084283734,in,6,53,6,4,4,6,6,6,4,4,4,4,4,6,4,4,4,4,6,6,6,6,4,4,4,260
S-4793025022,S-0359369085162341,in,3,63,7,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,270
S-4677025028,S-0359369084263199,in,3,16,6,7,6,5,7,6,6,5,6,4,6,5,4,5,7,5,5,6,7,5,6,6,5,410
S-4677025028,S-0359369084283874,in,4,74,7,7,11,14,5,4,5,9,9,7,5,5,4,4,4,4,2,4,4,5,4,4,5,390
S-4677025033,S-0359369083951851,in,10,102,2,5,12,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,330
S-4677025028,S-0359369083963757,in,19,75,26,26,23,35,14,11,11,12,9,7,7,5,4,4,4,4,4,4,4,4,4,5,5,360
S-4673025027,S-0359369085117014,in,22,24,16,14,12,15,12,11,14,18,42,36,35,45,14,15,11,14,17,21,17,29,33,41,25,2490
S-4677025028,S-0359369083464400,in,4,321,15,13,6,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,2,4,4,4,300
S-4677025028,S-0359369083969317,in,8,263,6,10,10,4,6,5,6,6,5,5,5,5,4,5,6,4,12,7,6,6,5,6,5,310
S-4682025024,S-0359369085729164,in,18,53,20,20,20,18,27,25,25,25,20,20,29,27,20,22,20,18,27,33,36,56,47,25,22,270
S-4784025026,S-0359369085082861,in,3,154,10,8,10,5,5,3,5,3,5,5,5,5,3,8,5,5,5,10,20,23,23,10,5,300
S-4793025022,S-0359369085858914,in,3,42,3,4,4,4,6,6,4,6,6,6,4,6,6,6,6,6,4,7,6,6,6,6,4,230
S-4677025028,S-0359369084269501,in,0,97,6,3,3,9,3,0,0,0,3,0,3,3,3,3,3,3,0,0,3,3,0,0,3,290
S-4793025022,S-0359369085868970,in,0,163,28,13,3,13,0,0,0,16,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,280
S-4782025027,S-0359369085695258,in,2,66,5,3,3,3,3,3,3,5,3,5,10,11,3,3,3,3,3,3,5,5,5,3,3,270
S-4677025028,S-0359369083965042,in,3,28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,380
S-4677025028,S-0359369084282223,in,5,19,6,5,6,6,6,6,6,7,5,6,6,6,6,5,6,6,7,6,7,6,7,7,6,350
S-4677025028,S-0359369084276019,in,3,23,7,8,8,7,8,8,8,13,7,7,7,8,8,6,8,11,12,6,8,8,8,10,8,370
S-4677025033,S-0359369081372886,in,11,38,11,15,17,17,15,15,13,17,19,13,11,17,11,13,15,15,49,28,17,21,25,21,21,400
S-4372025021,S-0359369085132252,in,4,26,7,7,7,6,6,6,6,9,6,6,9,9,9,4,4,4,6,6,6,22,30,19,6,260
S-4784025026,S-0359369085191423,in,19,54,26,19,23,20,19,21,22,20,27,22,33,30,26,21,20,21,21,27,25,26,28,53,47,240
S-4677025033,S-0359369083956769,in,4,77,4,5,6,5,5,4,5,4,4,5,4,5,4,5,5,5,5,5,4,5,6,4,5,330
S-4677025029,S-0359369081388320,in,3,12,5,5,5,5,5,5,5,3,3,5,3,5,5,5,5,6,65,6,5,8,6,6,8,390
S-4372025021,S-0359369085177554,in,2,185,11,26,37,2,7,17,20,4,2,4,7,2,2,2,2,2,2,2,2,2,2,2,2,340
S-4372025021,S-0359369085136931,in,3,21,6,4,6,4,4,4,3,3,3,4,4,3,3,4,3,4,4,4,3,4,4,4,4,260
S-4677025033,S-0359369081376168,in,19,53,29,28,23,28,21,29,26,31,24,23,23,26,19,23,32,40,155,109,108,43,41,32,29,380
S-4793025022,S-0359369085714018,in,3,79,14,11,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,270
S-4677025028,S-0359369083964946,in,2,618,22,63,44,2,15,7,5,2,5,5,2,2,2,2,2,0,0,0,2,2,2,0,0,310
S-4677025028,S-0359369083969317,in,13,322,15,18,23,8,9,9,6,10,11,9,8,11,9,9,14,10,24,18,15,13,9,9,10,310
S-4784025026,S-0359369085183768,in,3,69,3,5,8,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,340
S-4521010100,S-0359369084095484,in,16,44,14,16,19,22,16,14,16,16,27,19,14,16,11,14,16,19,22,19,16,19,16,19,19,400
S-4682025024,S-0359369085872386,in,13,67,16,18,18,16,19,15,20,20,17,16,32,54,24,24,18,16,17,21,33,127,151,44,19,250
S-4885025022,S-0359369085142244,in,6,78,16,18,14,6,4,6,4,4,6,4,4,33,6,6,8,10,10,41,27,18,18,16,29,280
S-4885025022,S-0359369085142244,in,3,65,16,16,14,5,5,5,5,8,3,3,5,5,3,3,5,5,8,27,24,16,16,11,11,460
S-4677025028,S-0359369083465399,in,5,50,4,4,5,6,5,5,6,4,5,5,5,5,4,5,4,4,4,5,6,6,4,5,6,290
S-4729010102,S-0359369084089016,in,13,69,9,9,16,9,9,13,13,9,13,9,9,9,6,6,9,9,16,13,6,6,6,19,19,360
S-4372025021,S-0359369085172993,in,2,54,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,270
S-4521010100,S-0359369084100888,in,2,27,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,360
S-5011010101,S-0359369083973384,in,11,272,11,20,38,14,7,7,9,7,5,5,5,9,2,2,5,2,5,2,2,2,5,5,2,340
S-4682025024,S-0359369085862866,in,2,64,5,5,3,5,3,3,3,11,3,3,7,3,3,3,3,3,3,3,3,5,5,3,3,280
S-4580025036,S-0359369083970505,in,10,14,7,8,7,6,8,7,7,7,7,7,6,7,6,6,8,6,18,10,8,7,7,6,7,390
S-4721011100,S-0359369084146816,in,4,47,7,11,11,4,4,4,4,4,6,4,4,4,4,4,6,6,4,6,6,4,4,4,4,350
S-4677025028,S-0359369083963708,in,7,50,12,12,21,9,7,12,12,19,9,9,7,19,5,7,7,12,14,14,12,7,7,7,12,360
S-5011010101,S-0359369084272265,in,3,45,6,7,6,4,6,6,8,7,8,8,12,17,6,7,10,13,12,22,39,108,86,54,22,290
S-4673025027,S-0359369085161293,in,4,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,4,240
S-4677025028,S-0359369084282223,in,4,26,5,5,7,5,5,4,6,5,5,6,6,6,5,5,6,5,6,6,5,6,5,6,4,340
S-4677025028,S-0359369084263090,in,3,25,3,6,6,3,3,3,6,6,6,3,3,13,3,3,3,3,16,3,3,3,3,3,19,390
S-4372025021,S-0359369085154678,in,18,35,44,49,42,37,26,28,27,32,25,22,28,28,25,31,36,49,34,33,38,55,94,72,27,260
S-4684025022,S-0359369085696983,in,0,42,7,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
S-4677025028,S-0359369083969317,in,9,202,11,13,10,6,6,7,6,7,6,6,6,6,6,6,6,6,16,9,10,7,6,6,5,330
S-4677025028,S-0359369084278478,in,6,115,15,18,25,4,6,6,6,3,3,4,4,3,3,3,3,3,3,4,3,3,1,3,3,330
S-4677025028,S-0359369083963708,in,5,55,12,12,17,10,7,10,10,27,5,7,7,10,5,5,5,10,7,10,7,10,7,7,7,370
S-4677025028,S-0359369083963666,in,16,668,31,65,26,5,5,5,5,13,3,3,3,3,3,3,0,0,0,3,3,3,3,3,0,310
S-4772025022,S-0359369084112636,in,2,19,2,2,2,2,0,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,0,2,4,390
S-4784025026,S-0359369085186035,in,2,21,5,5,2,5,5,5,2,2,2,5,2,5,5,2,2,2,5,5,5,2,5,5,5,250
S-4772025022,S-0359369084114533,in,11,128,11,13,20,20,13,13,15,11,18,15,15,20,15,13,13,29,22,42,73,53,42,15,13,350
S-4573025028,S-0359369085165971,in,2,48,4,4,2,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,270
S-4677025028,S-0359369083969317,in,12,379,15,24,10,4,4,4,3,4,4,4,3,4,4,4,4,4,4,6,4,3,3,3,4,320
S-2711010100,S-0359369084032438,in,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,250
S-4673025027,S-0359369085159552,in,3,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,230
S-4573025028,S-0359369085124788,in,3,10,3,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,240
S-4677025028,S-0359369084275607,in,6,75,5,5,5,5,5,4,5,6,4,4,5,4,5,5,4,5,4,4,4,5,5,6,5,330
S-4677025028,S-0359369083969317,in,6,195,10,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,6,6,5,5,5,320
S-4580025036,S-0359369083973475,in,4,28,14,15,13,7,7,6,5,6,6,6,7,10,5,6,5,6,9,6,6,6,6,6,5,350
S-4677025033,S-0359369081372886,in,10,43,15,16,18,25,18,13,15,21,20,18,13,16,13,15,13,21,54,28,26,23,33,25,21,400
S-4376025033,S-0035514005600395,in,2,7,2,2,2,18,5,2,2,2,5,9,2,2,5,2,2,2,2,2,2,2,2,2,2,450
