site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4571025029,S-0359369084038575,normal,4,26,6,6,6,6,6,6,6,6,8,6,9,8,6,6,6,5,8,6,6,8,5,6,6,260
S-4571025029,S-0359369084039979,normal,6,43,9,8,6,6,6,6,5,5,6,6,6,6,9,6,6,6,8,11,9,30,28,17,6,270
S-2911010107,S-0359369084050687,normal,4,15,7,7,5,5,5,5,6,6,5,6,7,6,6,5,6,7,6,5,6,6,5,6,6,360
S-4571025029,S-0359369084043542,normal,4,12,6,6,6,6,6,5,6,5,5,5,5,6,6,6,6,6,6,6,6,7,7,5,6,370
S-4571025029,S-0359369084042437,normal,3,14,5,6,5,6,5,6,5,5,5,6,7,5,6,5,6,5,5,7,5,6,6,6,6,250
S-2911010107,S-0359369084040779,normal,5,31,6,7,6,6,6,6,6,6,6,6,6,7,6,8,6,7,6,7,7,6,6,7,6,270
S-4571025029,S-0359369084050141,normal,4,16,5,6,5,6,5,5,5,6,12,12,6,6,6,7,6,5,5,5,6,9,7,6,6,270
S-4571025029,S-0359369084042247,normal,6,11,8,7,7,7,7,7,7,8,7,7,7,7,8,7,7,14,7,8,8,9,9,8,7,390
S-2911010107,S-0359369084033188,normal,5,27,6,5,6,6,5,6,6,6,5,5,6,6,6,6,6,6,5,6,5,7,5,6,6,460
S-4571025029,S-0359369084038096,normal,4,20,7,5,7,6,6,6,7,6,6,6,5,5,6,6,6,6,7,6,7,6,7,7,6,250
S-2711010100,S-0359369084039946,normal,5,15,31,6,7,11,7,7,6,7,6,6,5,9,8,5,5,6,6,6,7,5,6,6,6,390
S-4571025029,S-0359369084039714,normal,5,72,5,6,5,7,5,5,6,5,6,6,6,5,6,6,5,5,6,6,5,6,6,6,6,310
S-4571025029,S-0359369084042270,normal,4,12,5,6,6,5,5,6,6,6,6,5,6,5,6,5,6,5,6,6,7,8,11,11,7,250
S-4571025029,S-0359369084050885,normal,5,51,9,11,16,7,9,15,15,7,7,9,7,7,6,7,7,7,9,7,7,7,8,7,7,340
S-4571025029,S-0359369084051925,normal,5,6,5,5,5,7,6,6,6,5,6,6,5,5,6,6,5,6,6,5,6,5,6,6,6,250
S-4571025029,S-0359369084042510,normal,3,25,6,5,5,6,4,5,6,5,5,6,5,4,4,5,4,4,5,5,4,5,5,4,5,250
S-4571025029,S-0359369084039979,normal,9,38,13,11,9,9,9,10,9,13,11,9,13,10,14,13,9,10,11,13,14,52,55,18,10,270
S-4571025029,S-0359369084040597,normal,4,11,5,7,5,6,6,5,5,5,6,5,6,7,5,5,5,6,6,6,6,6,6,7,6,340
S-2911010107,S-0359369084039508,normal,4,5,5,6,5,5,5,5,5,5,6,6,4,4,6,4,5,5,6,5,5,5,5,5,5,410
S-2911010107,S-0359369084042411,normal,4,20,10,7,6,7,6,5,5,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,270
S-4571025029,S-0359369084038302,normal,4,10,4,5,5,5,5,5,5,5,5,4,7,5,5,5,4,5,5,5,5,5,5,5,5,270
S-4571025029,S-0359369084037726,normal,4,10,5,4,5,5,5,5,5,5,5,5,6,6,6,5,6,5,6,6,6,6,5,7,5,250
S-4571025029,S-0359369084041173,normal,4,22,6,5,6,6,5,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,330
S-4571025029,S-0359369084035977,normal,3,36,8,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,5,260
S-4571025029,S-0359369084037254,normal,6,27,11,6,6,7,6,6,6,8,8,6,7,13,6,8,6,6,6,8,7,8,8,11,10,270
S-2911010107,S-0359369084047519,normal,4,16,6,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,5,5,6,5,5,5,260
S-2911010107,S-0359369084047865,normal,5,42,9,7,6,7,7,6,7,7,6,6,6,7,5,7,6,7,6,7,8,11,10,5,6,280
S-4571025029,S-0359369084041421,normal,4,13,5,6,6,6,6,6,6,5,5,6,5,6,6,4,5,5,6,6,6,6,6,6,6,270
S-4571025029,S-0359369084050885,normal,5,39,6,8,8,5,8,8,9,5,6,5,5,6,6,6,6,7,6,6,6,6,6,6,8,330
S-4571025029,S-0359369084043757,normal,9,32,17,15,13,12,12,13,12,18,26,29,15,18,15,15,12,12,18,31,30,65,62,55,27,270
S-2911010107,S-0359369084034715,normal,3,97,5,8,7,7,5,6,4,6,6,6,5,6,5,5,6,5,5,5,4,4,5,6,5,320
S-4571025029,S-0359369084051677,normal,4,10,5,5,6,5,6,5,6,6,7,5,6,6,6,6,6,6,5,6,6,5,7,6,6,260
S-4571025029,S-0359369084049556,normal,4,14,8,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,7,6,8,7,5,5,290
S-4571025029,S-0359369084036702,normal,5,7,5,6,6,6,5,6,6,6,7,7,14,6,6,9,7,5,6,7,7,8,7,11,7,250
S-4571025029,S-0359369084049176,normal,3,30,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,3,4,270
S-4571025029,S-0359369084039854,normal,5,20,19,9,9,19,9,9,10,9,9,10,15,11,9,11,7,9,7,8,8,9,9,10,10,260
S-2711010100,S-0359369084034368,normal,4,89,6,6,5,5,4,5,5,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,7,300
S-4571025029,S-0359369084049846,normal,5,12,7,5,5,5,6,5,6,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,5,280
S-4521010100,S-0359369084095245,normal,4,7,6,5,7,6,5,6,6,6,5,7,6,6,6,7,6,6,6,6,6,6,8,7,6,440
S-4571025029,S-0359369084049853,normal,4,14,7,8,7,6,7,6,6,6,5,5,5,7,6,6,5,5,8,6,6,6,5,5,5,350
S-2911010107,S-0359369084034715,normal,4,136,7,8,10,5,6,5,6,5,6,5,6,7,6,6,6,5,6,6,4,6,5,5,6,310
S-2711010100,S-0359369085118830,normal,4,8,5,6,5,5,5,5,5,6,6,4,5,5,5,5,5,5,6,5,6,6,5,5,4,250
S-2911010107,S-0359369084048335,normal,5,25,7,7,7,5,5,5,5,7,5,5,7,6,5,6,5,5,8,5,6,7,6,6,5,350
S-4571025029,S-0359369084038039,normal,4,11,6,6,6,4,5,5,6,6,5,5,6,5,5,6,6,5,6,6,5,6,7,6,6,240
S-4521010100,S-0359369084102934,normal,3,10,5,6,6,7,5,6,6,5,6,5,5,5,5,5,5,5,6,7,7,5,6,5,7,410
S-2711010100,S-0359369084031935,normal,5,13,10,6,7,7,7,7,7,6,6,6,7,6,6,5,6,6,5,6,6,6,5,6,6,420
S-4571025029,S-0359369084050190,normal,3,18,5,5,5,4,6,4,5,4,5,5,5,5,5,5,6,5,4,5,5,5,6,6,7,260
S-2911010107,S-0359369084039680,normal,5,6,7,8,9,7,7,7,6,7,10,9,16,15,26,25,11,8,7,19,26,82,70,30,11,4690
S-4571025029,S-0359369084040597,normal,4,27,6,6,7,5,5,5,6,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,340
S-2911010107,S-0359369084040845,normal,4,18,7,6,7,6,6,6,5,6,6,5,6,7,5,5,7,7,6,6,5,5,6,7,6,400
S-4571025029,S-0359369084036942,normal,4,6,6,6,7,6,7,6,6,7,7,6,6,5,6,5,5,6,6,7,6,6,7,7,7,240
S-2711010100,S-0359369084041892,normal,4,20,4,5,6,5,6,4,5,6,5,4,5,5,4,6,6,5,6,6,6,6,5,6,6,360
S-4571025029,S-0359369084051941,normal,4,17,6,6,5,5,7,9,9,8,8,9,10,9,6,6,6,5,9,8,9,11,11,9,7,250
S-2911010107,S-0359369084040142,normal,4,47,5,5,5,7,5,6,5,4,6,4,5,5,6,5,6,5,5,6,7,6,5,7,6,290
S-4571025029,S-0359369084040548,normal,4,12,6,4,5,6,6,6,6,5,6,5,5,6,6,6,5,6,6,5,6,5,6,8,6,180
S-4571025029,S-0359369084043336,normal,4,6,5,5,5,6,5,6,6,5,5,5,5,5,5,6,6,5,5,6,7,5,5,6,5,250
S-2711010100,S-0359369084041892,normal,5,18,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,6,5,5,6,5,360
S-4571025029,S-0359369084041165,normal,5,21,13,9,8,7,6,9,7,7,6,6,18,10,5,7,5,6,6,6,7,7,7,8,6,260
S-4571025029,S-0359369084039979,normal,6,24,12,9,12,8,9,9,9,9,9,9,10,9,11,14,10,7,11,13,14,27,38,34,10,270
S-2911010107,S-0359369084031810,normal,4,7,5,5,4,5,6,5,5,5,5,5,5,4,4,5,6,5,6,5,5,6,4,5,5,240
S-2911010107,S-0359369084045588,normal,4,20,6,6,7,8,10,9,8,6,7,8,10,10,10,8,8,22,61,36,37,47,34,11,8,4130
S-2711010100,S-0359369085092035,normal,4,10,5,5,6,6,6,5,6,7,6,5,10,5,5,5,5,5,5,5,6,5,5,4,5,250
S-4521010100,S-0359369084101977,normal,4,7,7,8,11,4,7,6,6,4,5,6,6,5,5,4,5,6,7,6,6,5,5,6,6,150
S-4571025029,S-0359369084040811,normal,4,7,6,6,5,6,5,6,5,6,6,5,5,5,6,7,6,5,6,6,5,6,6,6,6,260
S-4571025029,S-0359369084037122,normal,4,8,5,5,6,6,6,6,6,6,5,5,6,5,6,6,7,7,5,7,7,6,6,7,8,250
S-2911010107,S-0359369084047451,normal,6,17,8,9,9,6,9,6,8,8,9,9,12,7,7,7,6,6,7,8,8,10,11,19,8,240
S-2911010107,S-0359369084032784,normal,4,31,6,5,6,6,6,5,5,5,6,7,5,5,6,4,6,5,6,6,7,5,6,6,6,380
S-2711010100,S-0359369085095111,normal,5,17,6,6,5,6,8,7,6,6,6,6,6,6,7,5,6,6,6,6,5,5,6,7,6,390
S-2911010107,S-0359369084032750,normal,4,42,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,6,6,6,6,7,250
S-2911010107,S-0359369084045737,normal,4,6,7,6,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,5,6,6,270
S-4571025029,S-0359369084040548,normal,3,12,5,6,5,4,4,5,5,6,5,6,4,6,4,5,3,4,5,5,6,7,7,9,5,260
S-4521010100,S-0359369084101852,normal,5,6,5,6,5,7,6,6,6,6,6,5,6,6,6,6,7,6,6,6,6,6,6,6,6,440
S-4521010100,S-0359369084103114,normal,4,29,7,6,6,6,6,6,6,6,6,6,7,8,6,7,6,5,6,7,6,6,6,7,6,350
S-4571025029,S-0359369084039763,normal,6,39,17,11,9,12,12,10,10,13,11,13,14,14,11,11,8,9,9,9,11,19,14,20,10,280
S-2911010107,S-0359369084032750,normal,5,99,5,5,5,5,5,6,6,5,5,6,6,5,6,6,6,7,7,5,7,6,6,6,7,310
S-4571025029,S-0359369084042973,normal,3,16,6,5,5,5,5,5,5,7,7,5,5,5,5,4,6,5,5,5,5,5,6,6,6,260
S-4372025021,S-0359369085196992,normal,5,7,6,6,6,6,7,6,6,6,6,5,6,6,7,6,6,5,6,6,7,7,6,6,7,420
S-4571025029,S-0359369084043211,normal,4,15,6,6,6,6,7,6,6,6,7,5,7,8,6,6,8,11,21,8,8,6,7,7,7,350
S-4571025029,S-0359369084050240,normal,5,15,13,10,10,8,6,8,7,7,6,5,6,5,5,6,5,6,5,5,5,5,5,6,7,270
S-2711010100,S-0359369085220446,normal,4,18,6,5,5,7,6,5,6,5,6,5,5,5,5,5,5,5,5,6,4,5,5,5,4,410
S-4571025029,S-0359369084040365,normal,3,23,5,5,6,6,5,6,6,5,5,5,5,5,7,7,6,7,6,7,5,7,5,6,5,260
S-4571025029,S-0359369084051982,normal,5,112,6,7,6,5,6,5,5,6,6,5,6,5,4,5,6,6,6,5,7,6,5,6,6,330
S-4571025029,S-0359369084043195,normal,4,15,5,6,5,8,5,5,6,5,5,7,7,6,6,6,5,5,5,7,6,8,8,15,6,260
S-4571025029,S-0359369084035613,normal,6,38,10,7,6,7,6,4,6,6,5,5,6,4,6,4,6,4,5,5,6,5,5,5,5,280
S-4571025029,S-0359369084013008,normal,5,23,6,5,6,5,6,5,5,5,6,5,6,6,6,5,6,5,5,6,6,6,6,6,6,370
S-4571025029,S-0359369084035407,normal,5,9,6,6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,5,5,6,6,6,260
S-4521010100,S-0359369084100920,normal,4,9,6,6,7,5,6,6,5,5,6,6,7,5,7,7,7,7,11,11,11,8,8,8,6,380
S-4571025029,S-0359369084027693,normal,3,30,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,6,4,270
S-2711010100,S-0359369085126635,normal,4,10,8,7,8,6,5,5,5,4,6,6,5,5,6,6,4,4,4,6,5,6,6,5,6,420
S-4571025029,S-0359369084038740,normal,4,11,6,5,5,5,5,6,7,6,5,6,6,5,6,6,7,5,5,5,7,6,6,7,7,260
S-4571025029,S-0359369084043757,normal,7,21,11,11,10,17,11,11,12,17,20,21,13,15,12,20,10,12,21,29,28,86,84,46,24,4740
S-4571025029,S-0359369084051867,normal,5,11,8,5,5,6,6,6,5,5,7,6,6,6,7,9,7,5,6,7,5,8,8,6,7,280
S-2711010100,S-0359369084044607,normal,4,18,6,4,5,7,6,6,5,6,4,5,5,4,5,5,4,6,6,6,6,4,5,6,6,270
S-4571025029,S-0359369084043492,normal,6,23,7,6,6,7,8,6,7,7,8,8,6,8,6,6,6,6,9,7,6,10,9,8,7,270
S-4521010100,S-0359369084101969,normal,3,10,8,8,7,7,6,7,9,6,6,6,5,8,6,5,7,7,17,6,6,7,8,7,6,400
S-4571025029,S-0359369084042734,normal,5,77,6,5,5,5,5,6,6,5,6,6,5,5,5,7,6,7,5,6,6,5,6,5,6,310
S-4413110100,S-0359369084106315,normal,4,97,5,6,6,6,6,5,6,5,6,6,5,7,6,6,6,6,6,6,7,6,6,6,6,340
S-2911010107,S-0359369084047519,normal,4,14,6,6,5,5,6,6,5,6,5,6,5,5,5,6,6,6,6,6,6,5,6,7,6,260
S-4571025029,S-0359369084043815,normal,6,15,7,8,7,7,8,5,7,7,7,8,7,7,7,8,7,9,9,9,8,9,8,8,9,380
S-2911010107,S-0359369084040282,normal,5,23,20,9,10,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,420
S-4571025029,S-0359369084041868,normal,4,13,4,5,4,5,6,6,5,5,5,6,6,5,6,5,6,6,6,4,6,5,6,6,5,270
S-4571025029,S-0359369084037767,normal,6,9,5,7,8,7,7,6,7,8,7,9,9,8,8,11,7,9,7,7,9,9,8,9,8,250
S-2911010107,S-0359369084047774,normal,4,25,6,5,6,6,6,5,5,6,6,6,5,5,5,5,6,6,6,5,5,6,6,6,6,350
S-4571025029,S-0359369084041058,normal,4,24,6,6,5,6,5,6,6,6,6,6,7,12,7,5,7,7,9,8,7,6,7,7,7,280
S-2711010100,S-0359369084051115,normal,4,56,5,5,14,5,5,4,5,6,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,320
S-2711010100,S-0359369084048046,normal,4,14,5,4,6,4,5,4,6,5,5,5,5,5,4,5,4,6,5,6,6,6,6,6,5,260
S-2711010100,S-0359369084050034,normal,5,20,6,6,5,7,6,6,7,6,6,6,6,7,6,7,5,5,8,7,5,7,7,7,7,270
S-4413110100,S-0359369084098736,normal,3,30,5,5,6,4,5,5,6,5,5,6,5,5,4,6,5,6,6,5,6,6,6,6,6,120
S-2911010107,S-0359369084034293,normal,4,6,6,5,4,6,4,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,250
S-2711010100,S-0359369085221261,normal,4,5,6,7,7,6,5,6,8,6,6,5,6,6,6,6,6,6,6,5,6,6,7,6,5,420
S-4413110100,S-0359369084090873,normal,6,11,4,5,5,5,6,5,6,6,6,4,5,6,5,6,4,6,6,6,6,6,6,6,4,2360
S-4521010100,S-0359369084101266,normal,4,9,6,6,6,6,6,5,6,4,6,6,7,6,6,6,6,6,6,6,7,5,6,6,6,370
S-4571025029,S-0359369084037767,normal,5,7,6,7,6,6,5,6,6,6,6,6,5,5,7,6,7,5,7,7,7,7,5,7,7,250
S-2911010107,S-0359369084039508,normal,3,7,5,6,5,5,6,6,6,6,6,6,6,6,6,6,7,5,7,5,6,6,6,5,6,380
S-4571025029,S-0359369084020284,normal,5,16,7,6,7,7,7,6,7,6,6,7,7,7,6,7,6,6,7,6,7,7,7,9,7,250
S-2711010100,S-0359369084045349,normal,4,11,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,5,5,6,6,6,6,6,6,260
S-4521010100,S-0359369084095716,normal,4,11,5,6,5,6,5,6,5,6,6,5,5,5,5,5,6,4,7,7,9,7,7,6,5,380
S-4571025029,S-0359369084036702,normal,5,9,5,6,5,5,6,6,5,5,5,6,8,5,7,5,5,7,5,5,8,7,8,12,7,250
S-2911010107,S-0359369084034715,normal,4,50,8,7,6,6,6,7,5,5,5,6,7,5,6,6,6,5,5,6,6,5,7,7,6,340
S-4571025029,S-0359369084034095,normal,5,9,5,5,6,6,5,5,6,5,6,4,6,6,5,6,5,6,5,6,6,5,6,6,6,270
S-4571025029,S-0359369084035548,normal,4,16,7,5,7,7,6,8,7,7,8,7,7,9,7,10,6,7,6,7,7,10,12,10,7,270
S-2911010107,S-0359369084034715,normal,4,154,7,9,12,5,5,5,4,6,4,5,5,5,4,5,5,4,4,6,5,4,5,5,4,330
S-2711010100,S-0359369084033030,normal,3,13,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,340
S-2711010100,S-0359369084039946,normal,5,15,49,28,57,16,6,8,8,12,12,9,8,6,6,6,6,5,6,6,6,6,7,7,6,850
S-2911010107,S-0359369084047865,normal,5,26,5,5,6,5,6,6,4,6,5,6,6,6,5,5,5,5,6,5,5,6,6,6,6,280
S-2911010107,S-0359369084034202,normal,7,30,46,56,62,9,8,8,8,7,6,7,7,6,6,5,6,6,5,6,5,5,5,5,5,950
S-4571025029,S-0359369084050786,normal,3,21,6,5,6,4,5,5,6,5,5,5,6,6,5,5,5,6,6,5,5,6,7,6,5,270
S-4571025029,S-0359369084037478,normal,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,260
S-2711010100,S-0359369084048970,normal,4,7,7,6,6,6,6,7,5,6,6,6,6,6,6,7,6,6,7,7,6,6,6,6,6,250
S-4571025029,S-0359369084038211,normal,4,11,6,7,7,5,7,6,6,7,5,6,6,7,7,6,6,6,6,6,6,7,7,5,6,280
S-4571025029,S-0359369084040126,normal,5,8,5,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,260
S-2911010107,S-0359369084040415,normal,4,21,6,7,5,5,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,270
S-2711010100,S-0359369084048673,normal,4,11,11,10,9,6,7,6,6,6,5,6,6,4,4,6,5,5,5,6,4,5,5,5,6,240
S-4413110100,S-0359369084090873,normal,5,11,6,6,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,6,5,4,5,5,5,120
S-2711010100,S-0359369084036835,normal,6,17,9,8,9,9,8,6,7,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,5,400
S-4571025029,S-0359369084035977,normal,3,28,10,6,4,4,4,4,5,6,4,5,4,4,4,4,4,4,5,5,5,5,3,3,5,270
S-2911010107,S-0359369084034715,normal,3,144,6,11,9,5,6,7,6,6,5,6,6,6,6,4,6,5,5,7,6,6,6,6,6,300
S-4571025029,S-0359369084040548,normal,4,9,6,6,5,5,5,5,5,6,6,5,6,7,7,6,5,5,5,5,7,7,7,7,6,260
S-2711010100,S-0359369085090005,normal,3,25,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4,440
S-4571025029,S-0359369084042841,normal,4,77,5,5,6,6,5,5,5,5,5,5,5,5,6,6,5,6,5,5,5,5,5,6,6,300
S-4521010100,S-0359369084094289,normal,4,5,6,7,5,5,5,7,7,6,6,5,6,4,5,6,5,5,6,7,5,7,7,6,6,390
S-4571025029,S-0359369084041058,normal,4,10,5,5,6,6,6,6,6,6,6,6,6,6,5,5,6,6,7,6,6,6,5,6,6,260
S-2911010107,S-0359369084041819,normal,4,27,6,5,5,6,6,6,5,5,6,5,5,6,5,5,6,7,6,6,7,6,5,6,7,350
S-2911010107,S-0359369084040845,normal,4,45,5,5,6,6,5,6,6,5,5,6,7,7,6,6,5,7,6,6,6,6,6,5,7,390
S-2711010100,S-0359369085112882,normal,5,5,6,7,5,7,5,5,5,6,5,6,6,6,5,6,5,5,5,6,6,6,6,6,6,460
S-2911010107,S-0359369084051164,normal,5,9,6,6,5,6,6,6,6,5,5,5,6,7,5,5,5,5,7,5,6,7,6,7,7,250
S-4571025029,S-0359369084042841,normal,4,130,10,7,7,6,7,7,7,8,10,9,8,7,7,7,4,5,6,8,13,10,9,7,8,300
S-4571025029,S-0359369084043989,normal,4,56,5,6,5,6,6,5,5,7,7,4,6,6,5,6,6,5,6,8,8,7,7,6,4,290
S-4413110100,S-0359369084104690,normal,3,29,5,5,5,5,5,6,5,5,5,5,6,5,5,5,6,5,6,6,5,5,5,5,6,340
S-4571025029,S-0359369084051875,normal,5,21,8,10,8,13,8,7,8,7,8,8,14,5,6,7,6,6,6,10,10,13,11,9,6,490
S-4571025029,S-0359369084043757,normal,6,34,11,11,8,9,9,6,8,9,13,11,8,13,8,8,4,6,9,13,13,42,34,23,15,260
S-4571025029,S-0359369084035761,normal,5,34,7,8,9,8,7,10,11,8,9,8,6,8,5,7,7,8,21,7,8,7,7,8,7,3960
S-2911010107,S-0359369084034202,normal,8,18,11,11,9,8,7,7,7,7,6,6,5,5,5,5,5,5,7,5,6,5,5,5,6,380
S-4521010100,S-0359369084118112,normal,4,8,5,6,6,6,6,6,6,6,5,5,6,6,5,5,5,6,6,7,7,6,6,6,7,360
S-4571025029,S-0359369084037767,normal,4,8,6,6,5,6,6,6,6,5,6,6,5,7,6,6,5,6,6,5,7,6,6,7,4,250
S-2711010100,S-0359369085126635,normal,4,19,6,7,9,7,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,5,5,5,410
S-2911010107,S-0359369084043880,normal,4,13,5,5,6,4,5,6,6,6,5,5,6,6,4,5,6,5,5,5,5,4,5,6,7,390
S-2911010107,S-0359369084048467,normal,4,33,7,5,6,5,6,5,5,6,5,6,5,5,6,6,6,5,5,7,5,6,6,7,5,280
S-4571025029,S-0359369084043989,normal,4,45,7,6,6,6,7,6,6,6,6,6,8,7,6,7,6,6,6,8,7,11,10,7,6,300
S-2711010100,S-0359369085095012,normal,4,4,5,5,5,6,5,5,5,5,6,5,7,5,6,5,5,5,5,6,5,5,5,5,5,420
S-2711010100,S-0359369084036082,normal,4,19,6,5,6,6,6,5,6,5,5,6,5,6,7,7,6,6,6,13,22,9,12,6,8,270
S-4413110100,S-0359369084644919,normal,4,49,5,5,6,6,5,5,6,5,6,6,6,5,6,5,6,5,5,5,6,4,5,6,8,320
